periode,kab_kota,pendidikan,tpt_persen
2024-08,Maluku Tengah,Sekolah Menengah Pertama,3.007824
2024-08,Maluku Tengah,Sekolah Menengah Atas,9.221314
2024-08,Maluku Tengah,Sekolah Menengah Kejuruan,5.259087
2024-08,Maluku Tengah,Diploma I/II/III,0.0
2024-08,Maluku Tengah,"Diploma IV, S1, S2, S3",7.000272
2024-08,Buru,Sekolah Dasar,0.969035
2024-08,Buru,Sekolah Menengah Pertama,5.959385
2024-08,Buru,Sekolah Menengah Atas,5.814301
2024-08,Buru,Sekolah Menengah Kejuruan,16.418308
2024-08,Buru,Diploma I/II/III,4.608854
2024-08,Buru,"Diploma IV, S1, S2, S3",6.598503
2024-08,Kepulauan Aru,Sekolah Dasar,0.974683
2024-08,Kepulauan Aru,Sekolah Menengah Pertama,2.181345
2024-08,Kepulauan Aru,Sekolah Menengah Atas,3.444906
2024-08,Kepulauan Aru,Sekolah Menengah Kejuruan,2.579365
2024-08,Kepulauan Aru,Diploma I/II/III,0.0
2024-08,Kepulauan Aru,"Diploma IV, S1, S2, S3",0.0
2024-08,Seram Bagian Barat,Sekolah Dasar,0.0
2024-08,Seram Bagian Barat,Sekolah Menengah Pertama,4.473575
2024-08,Seram Bagian Barat,Sekolah Menengah Atas,8.367347
2024-08,Seram Bagian Barat,Sekolah Menengah Kejuruan,7.252947
2024-08,Seram Bagian Barat,Diploma I/II/III,0.0
2024-08,Seram Bagian Barat,"Diploma IV, S1, S2, S3",3.188126
2024-08,Seram Bagian Timur,Sekolah Dasar,1.766866
2024-08,Seram Bagian Timur,Sekolah Menengah Pertama,5.33538
2024-08,Seram Bagian Timur,Sekolah Menengah Atas,5.084864
2024-08,Seram Bagian Timur,Sekolah Menengah Kejuruan,0.0
2024-08,Seram Bagian Timur,Diploma I/II/III,0.0
2024-08,Seram Bagian Timur,"Diploma IV, S1, S2, S3",1.116829
2024-08,Maluku Barat Daya,Sekolah Dasar,1.411423
2024-08,Maluku Barat Daya,Sekolah Menengah Pertama,1.744513
2024-08,Maluku Barat Daya,Sekolah Menengah Atas,3.828582
