periode,kab_kota,kelompok_usia,tpt_persen
2024-08,Buru Selatan,Usia 25-29,1.275409
2024-08,Buru Selatan,Usia 30-34,0.0
2024-08,Buru Selatan,Usia 35-39,0.0
2024-08,Kota Ambon,Usia 15-19,42.308819
2024-08,Kota Ambon,Usia 20-24,33.802203
2024-08,Kota Ambon,Usia 25-29,15.751242
2024-08,Kota Ambon,Usia 30-34,11.261989
2024-08,Kota Ambon,Usia 35-39,5.007461
2024-08,Kota Tual,Usia 15-19,34.689793
2024-08,Kota Tual,Usia 20-24,23.701555
2024-08,Kota Tual,Usia 25-29,12.652158
2024-08,Kota Tual,Usia 30-34,10.813226
2024-08,Kota Tual,Usia 35-39,7.511356
2024-08,Maluku,Usia 15-19,13.423956
2024-08,Maluku,Usia 20-24,16.566965
2024-08,Maluku,Usia 25-29,13.485836
2024-08,Maluku,Usia 30-34,5.051941
2024-08,Maluku,Usia 35-39,2.76008
2025-08,Kepulauan Tanimbar,Usia 15-19,6.477225
2025-08,Kepulauan Tanimbar,Usia 20-24,17.463793
2025-08,Kepulauan Tanimbar,Usia 25-29,11.170929
2025-08,Kepulauan Tanimbar,Usia 30-34,3.62356
2025-08,Kepulauan Tanimbar,Usia 35-39,1.533907
2025-08,Maluku Tenggara,Usia 15-19,57.57884
2025-08,Maluku Tenggara,Usia 20-24,9.626488
2025-08,Maluku Tenggara,Usia 25-29,9.298862
2025-08,Maluku Tenggara,Usia 30-34,5.27844
2025-08,Maluku Tenggara,Usia 35-39,0.0
2025-08,Maluku Tengah,Usia 15-19,34.543207
2025-08,Maluku Tengah,Usia 20-24,21.909233
2025-08,Maluku Tengah,Usia 25-29,11.718383
2025-08,Maluku Tengah,Usia 30-34,1.333154
2025-08,Maluku Tengah,Usia 35-39,1.793164
2025-08,Buru,Usia 15-19,15.143172
2025-08,Buru,Usia 20-24,8.483422
2025-08,Buru,Usia 25-29,6.514048
2025-08,Buru,Usia 30-34,1.039916
2025-08,Buru,Usia 35-39,0.989292
2025-08,Kepulauan Aru,Usia 15-19,14.746544
2025-08,Kepulauan Aru,Usia 20-24,7.219472
2025-08,Kepulauan Aru,Usia 25-29,2.314251
2025-08,Kepulauan Aru,Usia 30-34,0.752307
2025-08,Kepulauan Aru,Usia 35-39,0.0
2025-08,Seram Bagian Barat,Usia 15-19,18.655066
2025-08,Seram Bagian Barat,Usia 20-24,16.746112
2025-08,Seram Bagian Barat,Usia 25-29,5.739175
2025-08,Seram Bagian Barat,Usia 30-34,2.150859
2025-08,Seram Bagian Barat,Usia 35-39,3.951205
2025-08,Seram Bagian Timur,Usia 15-19,2.384501
2025-08,Seram Bagian Timur,Usia 20-24,6.531625
2025-08,Seram Bagian Timur,Usia 25-29,3.794011
2025-08,Seram Bagian Timur,Usia 30-34,2.290659
2025-08,Seram Bagian Timur,Usia 35-39,3.384791
2025-08,Maluku Barat Daya,Usia 15-19,5.50913
2025-08,Maluku Barat Daya,Usia 20-24,2.13086
2025-08,Maluku Barat Daya,Usia 25-29,2.897196
2025-08,Maluku Barat Daya,Usia 30-34,2.050035
2025-08,Maluku Barat Daya,Usia 35-39,5.38433
2025-08,Buru Selatan,Usia 15-19,5.212664
2025-08,Buru Selatan,Usia 20-24,2.87606
2025-08,Buru Selatan,Usia 25-29,3.376757
2025-08,Buru Selatan,Usia 30-34,0.0
2025-08,Buru Selatan,Usia 35-39,0.0
2025-08,Kota Ambon,Usia 15-19,37.809134
2025-08,Kota Ambon,Usia 20-24,32.513553
2025-08,Kota Ambon,Usia 25-29,29.251349
2025-08,Kota Ambon,Usia 30-34,10.119445
2025-08,Kota Ambon,Usia 35-39,2.188631
2025-08,Kota Tual,Usia 15-19,67.757459
2025-08,Kota Tual,Usia 20-24,28.066473
2025-08,Kota Tual,Usia 25-29,21.519651
2025-08,Kota Tual,Usia 30-34,7.904253
2025-08,Kota Tual,Usia 35-39,2.787934
2025-08,Maluku,Usia 15-19,22.344391
2025-08,Maluku,Usia 20-24,17.107141
2025-08,Maluku,Usia 25-29,12.675992
2025-08,Maluku,Usia 30-34,3.953972
2025-08,Maluku,Usia 35-39,2.064817
