kab_kota,miskin_2023,miskin_2024,miskin_2025
Kepulauan Tanimbar,24.47,23.66,23.38
Maluku Tenggara,21.79,21.22,21.16
Maluku Tengah,17.84,17.67,16.71
Buru,16.53,16.08,15.11
Kepulauan Aru,24.21,23.39,23.1
Seram Bagian Barat,22.39,22.31,21.85
Seram Bagian Timur,21.08,21.03,20.9
Maluku Barat Daya,28.78,27.95,27.65
Buru Selatan,15.28,14.91,14.84
Ambon,5.25,5.13,4.34
Tual,20.68,20.01,19.39
