waktu,nama_pemda,inflasi_bulanan,inflasi_tahunan
2024/12/01,Tual,,0.16
2025/01/01,Ambon,,0.75
2025/01/01,Maluku,-0.33,0.76
2025/01/01,MalukuTengah,,1.01
2025/01/01,Nasional,,0.76
2025/01/01,Tual,,-1.07
2025/02/01,Ambon,,0.58
2025/02/01,Maluku,-0.63,1.33
2025/02/01,MalukuTengah,,2.85
2025/02/01,Nasional,,0.09
2025/02/01,Tual,,-1.2
2025/03/01,Ambon,,2.87
2025/03/01,Maluku,1.72,3.54
2025/03/01,MalukuTengah,,5.07
2025/03/01,Nasional,,1.65
2025/03/01,Tual,,0.22
2025/04/01,Ambon,,3.78
2025/04/01,Maluku,0.09,3.34
2025/04/01,MalukuTengah,,2.96
2025/04/01,Nasional,,1.17
2025/04/01,Tual,,1.36
2025/05/01,Ambon,,1.98
2025/05/01,Maluku,0.8,2.24
2025/05/01,MalukuTengah,,2.84
2025/05/01,Nasional,,2.4
2025/05/01,Tual,,0.81
2025/06/01,Ambon,,1.62
2025/06/01,Maluku,0.97,1.88
2025/06/01,MalukuTengah,,2.3
2025/06/01,Nasional,,1.87
2025/06/01,Tual,,1.85
2025/07/01,Ambon,,2.79
2025/07/01,Maluku,0.26,2.99
2025/07/01,MalukuTengah,,3.23
2025/07/01,Nasional,,2.37
2025/07/01,Tual,,3.51
2025/08/01,Ambon,,3.38
2025/08/01,Maluku,-0.09,3.25
2025/08/01,MalukuTengah,,3.08
2025/08/01,Nasional,,2.31
2025/08/01,Tual,,2.96
2025/09/01,Ambon,,2.97
2025/09/01,Maluku,0.29,3.01
2025/09/01,MalukuTengah,,3.09
2025/09/01,Nasional,,2.65
2025/09/01,Tual,,2.95
2025/10/01,Ambon,,3.03
2025/10/01,Maluku,-0.05,2.3
2025/10/01,MalukuTengah,,1.33
2025/10/01,Nasional,,2.86
2025/10/01,Tual,,1.26
2025/11/01,Ambon,,2.93
2025/11/01,Maluku,0.28,2.33
2025/11/01,MalukuTengah,,1.24
2025/11/01,Nasional,,2.72
2025/11/01,Tual,,3.53
2025/12/01,Ambon,,4.23
2025/12/01,Maluku,0.81,3.58
2025/12/01,MalukuTengah,,2.56
2025/12/01,Nasional,,2.92
2025/12/01,Tual,,3.93
2026/01/01,Ambon,,5.16
2026/01/01,Maluku,0.75,4.7
2026/01/01,MalukuTengah,,3.56
2026/01/01,Nasional,,3.55
2026/01/01,Tual,,7.97
2026/02/01,Ambon,,5.94
2026/02/01,Maluku,0.58,5.97
2026/02/01,MalukuTengah,,5.92
2026/02/01,Nasional,,4.76
2026/02/01,Tual,,6.77
2026/03/01,Ambon,,3.19
2026/03/01,Maluku,0.75,3.4
2026/03/01,MalukuTengah,,3.44
2026/03/01,Nasional,,3.48
2026/03/01,Tual,,5.69
2026/04/01,Ambon,,2.96
2026/04/01,Maluku,0.17,3.13
2026/04/01,MalukuTengah,,3.13
2026/04/01,Nasional,,2.42
2026/04/01,Tual,,4.99
2026/05/01,Ambon,,2.84
2026/05/01,Maluku,0.93,3.27
2026/05/01,MalukuTengah,,3.87
2026/05/01,Nasional,,3.08
2026/05/01,Tual,,3.93
2026/06/01,Ambon,,3.78
2026/06/01,Maluku,1.49,3.8
2026/06/01,MalukuTengah,,3.8
2026/06/01,Nasional,,3.34
2026/06/01,Tual,,4.03
2026/07/01,Ambon,,3.01
2026/07/01,Maluku,-0.75,2.75
2026/07/01,MalukuTengah,,2.27
2026/07/01,Nasional,,2.88
2026/07/01,Tual,,3.55
